name,link,river,stop_land_trans,start_water_trans,stop_water_trans,start_land_trans,id,location,fullname
Володарский,/bridges/volodarskij,Нева,"['2:00', '4:15']","['2:10', '4:25']","['3:40', '5:40']","['3:45', '5:45']",a23fcb55-8b38-4b6b-bdfd-d9165dc29302,"[59.877646, 30.453283]",Володарского моста
Александра Невского,/bridges/aleksandra-nevskogo,Нева,['2:20'],['2:30'],['5:05'],['5:10'],66ea5ce7-ee9e-40eb-abcb-40b0d582516d,"[59.925655, 30.395755]",моста Александра Невского
Большеохтинский,/bridges/bolsheohtinskij-most,Нева,['2:00'],['2:10'],['4:55'],['5:00'],1d7ab8e7-828a-4b4d-8e3b-d991d7fa5ae8,"[59.94262, 30.401585]",Большеохтинского моста
Литейный,/bridges/litejnyj,Нева,['1:40'],['1:50'],['4:40'],['4:45'],e0dc9791-ad1f-47c7-aab9-3bb9c617e888,"[59.951776, 30.349582]",Литейного моста
Троицкий,/bridges/troiczkij,Нева,['1:20'],['1:45'],['4:45'],['4:50'],6fc34bf9-15c3-4f1f-9642-6c593cf5ee13,"[59.948767, 30.327582]",Троицкого моста
Дворцовый,/bridges/dvorczovyj,Большая Нева,"['1:10', '3:10']","['1:35', '3:20']","['2:45', '4:50']","['2:50', '4:55']",83d8879b-2360-4828-afc8-03ca3bdc37cc,"[59.941213, 30.30817]",Дворцового моста
Благовещенский,/bridges/blagoveshhenskij,Большая Нева,"['1:25', '3:10']","['1:35', '3:20']","['2:40', '4:55']","['2:45', '5:00']",b223f1b2-bbeb-407c-b2eb-be555e134526,"[59.934691, 30.289538]",Благовещенского моста
Биржевой,/bridges/birzhevoj,Малая Нева,['2:00'],['2:10'],['4:40'],['4:55'],eb6e5b4b-f738-4ea9-9e6f-af310a52e437,"[59.94627, 30.303489]",Биржевого моста
Тучков,/bridges/tuchkov,Малая Нева,"['2:00', '3:35']","['2:10', '3:45']","['2:50', '4:50']","['2:55', '4:55']",3e792c8c-66ee-4679-a231-d5b0b1467c60,"[59.949038, 30.285449]",Тучкова моста
Сампсониевский,/bridges/sampsonievskij,Большая Невка,NULL,NULL,NULL,NULL,8a98a6da-33c1-4747-9ff3-5c7f44ea36fa,"[59.957958, 30.337383]",Сампсониевского моста
Гренадерский,/bridges/kantemirovskij,Большая Невка,NULL,NULL,NULL,NULL,3ad2cf0e-667a-49d6-8c15-6dd5ca1fb7cb,"[59.967917, 30.334661]",Гренадерского моста
Кантемировский,/bridges/kantemirovskij,Большая Невка,NULL,NULL,NULL,NULL,25f6e44e-49f9-481a-96ab-8a2932b016e2,"[59.978489, 30.321815]",Кантемировского моста
